Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787817240,9,,Aggregated,3.000000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,163,5,1500,3056.7769459079536,837.9038160001073,29135.27538199969,316.47852760736197
1787817241,9,,Aggregated,3.000000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,165,5,1500,3044.517679569674,837.9038160001073,29135.27538199969,316.8545454545455
1787817242,9,,Aggregated,3.000000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,168,5,1500,3021.548023315457,837.9038160001073,29135.27538199969,316.8095238095238
1787817243,9,,Aggregated,3.000000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,169,5,1500,3008.6338559644787,837.9038160001073,29135.27538199969,316.93491124260356
1787817244,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,172,5,1500,2988.2261541569574,837.9038160001073,29135.27538199969,317.11046511627904
1787817245,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,177,6,1500,2991.3770760734337,837.9038160001073,29135.27538199969,315.38418079096044
1787817246,9,,Aggregated,2.800000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,179,6,1500,2969.7990528323885,837.9038160001073,29135.27538199969,315.78212290502796
1787817247,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,11000,17000,29000,29000,29000,29000,182,6,1500,2949.6218730878995,837.9038160001073,29135.27538199969,315.74725274725273
1787817248,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,11000,17000,29000,29000,29000,29000,185,6,1500,2982.7888549567447,837.9038160001073,29135.27538199969,316.1135135135135
1787817249,9,,Aggregated,2.800000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,189,6,1500,3030.8178752063386,837.9038160001073,29135.27538199969,316.0952380952381
1787817250,9,,Aggregated,2.800000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,192,6,1500,3000.112446255196,837.9038160001073,29135.27538199969,316.1510416666667
1787817251,9,,Aggregated,2.800000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,196,6,1500,3040.9935589999877,837.9038160001073,29135.27538199969,316.515306122449
1787817252,9,,Aggregated,3.100000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,197,6,1500,3029.829290847702,837.9038160001073,29135.27538199969,316.6243654822335
1787817253,9,,Aggregated,3.100000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,200,6,1500,3011.901736489986,837.9038160001073,29135.27538199969,316.585
1787817254,9,,Aggregated,3.100000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,203,6,1500,2993.5793396551576,837.9038160001073,29135.27538199969,316.72906403940885
1787817255,9,,Aggregated,3.000000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,206,6,1500,2968.3679972815366,837.9038160001073,29135.27538199969,316.9466019417476
1787817256,9,,Aggregated,3.200000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,209,7,1500,2988.9210292248627,837.9038160001073,29135.27538199969,315.4066985645933
1787817257,9,,Aggregated,3.200000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,211,7,1500,2979.066277914676,837.9038160001073,29135.27538199969,315.70616113744074
1787817258,9,,Aggregated,2.800000,0.000000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,214,7,1500,2958.887349303723,837.9038160001073,29135.27538199969,315.66355140186914
1787817259,9,,Aggregated,3.000000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,217,7,1500,2979.8855212534404,837.9038160001073,29135.27538199969,315.66820276497697
1787817260,9,,Aggregated,3.000000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,220,7,1500,2968.000743836348,837.9038160001073,29135.27538199969,315.9818181818182
1787817261,9,,Aggregated,2.700000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,222,7,1500,2948.844640545029,837.9038160001073,29135.27538199969,316.1801801801802
1787817262,9,,Aggregated,2.700000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,225,7,1500,2932.133470604428,837.9038160001073,29135.27538199969,316.1511111111111
1787817263,9,,Aggregated,2.500000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,228,7,1500,2917.859463206124,837.9038160001073,29135.27538199969,316.32456140350877
1787817264,9,,Aggregated,2.800000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,232,7,1500,2945.959923659467,837.9038160001073,29135.27538199969,316.3491379310345
1787817265,9,,Aggregated,2.800000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,233,7,1500,2936.9433348068533,837.9038160001073,29135.27538199969,316.4420600858369
1787817266,9,,Aggregated,2.600000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,237,8,1500,3007.2713148227754,837.9038160001073,29135.27538199969,315.2911392405063
1787817267,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,241,8,1500,2993.2535910746806,837.9038160001073,29135.27538199969,315.4564315352697
1787817268,9,,Aggregated,2.800000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,243,8,1500,2978.581109423861,837.9038160001073,29135.27538199969,315.41975308641975
