2026/07/06 18:36:41 [MAB] event=reward_breakdown ts=1783355801551 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.285047 latency_reward=-1.189381 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.549381
2026/07/06 18:36:41 [MAB] event=reward_breakdown ts=1783355801775 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=2.802000 latency_reward=-1.030333 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.390333
2026/07/06 18:36:42 [MAB] event=reward_breakdown ts=1783355802002 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=3.233431 latency_reward=-1.173544 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.613544
2026/07/06 18:36:42 [MAB] event=reward_breakdown ts=1783355802230 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.479634 latency_reward=-1.246927 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.606927
2026/07/06 18:36:42 [MAB] event=reward_breakdown ts=1783355802456 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.438660 latency_reward=-1.235082 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.595082
2026/07/06 18:36:42 [MAB] event=reward_breakdown ts=1783355802682 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=3.130555 latency_reward=-1.141210 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.581210
2026/07/06 18:36:42 [MAB] event=reward_breakdown ts=1783355802907 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=2.863426 latency_reward=-1.052019 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.412019
2026/07/06 18:36:43 [MAB] event=reward_breakdown ts=1783355803133 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.109405 latency_reward=-1.134431 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.494431
2026/07/06 18:36:43 [MAB] event=reward_breakdown ts=1783355803357 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=3.100686 latency_reward=-1.131623 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.571623
2026/07/06 18:36:43 [MAB] event=reward_breakdown ts=1783355803579 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=2.943314 latency_reward=-1.079536 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.439536
2026/07/06 18:36:43 [MAB] event=reward_breakdown ts=1783355803802 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=2.962858 latency_reward=-1.086154 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.446154
2026/07/06 18:36:44 [MAB] event=reward_breakdown ts=1783355804025 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=2.971415 latency_reward=-1.089038 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.529038
2026/07/06 18:36:44 [MAB] event=reward_breakdown ts=1783355804252 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.628984 latency_reward=-1.288953 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.648953
2026/07/06 18:36:44 [MAB] event=reward_breakdown ts=1783355804477 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=3.091422 latency_reward=-1.128631 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.568631
2026/07/06 18:36:44 [MAB] event=reward_breakdown ts=1783355804703 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.583199 latency_reward=-1.276256 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.636256
2026/07/06 18:36:44 [MAB] event=reward_breakdown ts=1783355804926 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=3.145378 latency_reward=-1.145934 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.585934
2026/07/06 18:36:45 [MAB] event=reward_breakdown ts=1783355805149 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-large base_tag=x86-large architecture=x86 specialization=large capabilities=[] duration_ms=3.187625 latency_reward=-1.159276 cost_weight=0.600000 cost_factor=1.200000 cost_term=0.720000 energy_weight=0.200000 energy_factor=1.200000 energy_term=0.240000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-2.119276
